Website,Company Name,Ticker,Exchange,domain,files_in_bucket
https://www.generalgold.ca,General Copper Gold Corp.,GGLD,CSE,generalgold.ca,1
https://genericgold.ca,Generic Gold Corp.,GGC,CSE,genericgold.ca,1
https://geologicaresource.com,Geologica Resource Corp.,GRCM,CSE,geologicaresource.com,48
https://www.getchellgold.com,Getchell Gold Corp.,GTCH,CSE,getchellgold.com,178
https://www.giantminingcorp.com,Giant Mining Corp. (formerly was JUBA/Majuba Hill Copper Corp. until 2024-04-03),BFG,CSE,giantminingcorp.com,0
https://glenstar.ca,Glenstar Ventures Inc.,GSTR,CSE,glenstar.ca,32
https://globalhelium.com,Global Helium Corp.,HECO,CSE,globalhelium.com,47
https://globalli-iongraphite.com,Global Li-Ion Graphite Corp.,LION,CSE,globalli-iongraphite.com,82
,Global Tactical Metals Corp. (formerly was MONI/Global Defence Metals Corp. until 2025-02-26),MONI,CSE,,0
https://www.globaluranium.com,Global Uranium Corp.,GURN,CSE,globaluranium.com,46
https://gometals.ca,Go Metals Corp,GOCO,CSE,gometals.ca,5
https://www.golcapresources.com,Golcap Resources Corp.,GCP,CSE,golcapresources.com,1
https://gdresourcesinc.com,Gold Digger Resources Inc.,GDIG,CSE,gdresourcesinc.com,1
https://goldhunterresources.com,Gold Hunter Resources Inc,HUNT,CSE,goldhunterresources.com,0
https://www.goldportcorporation.com,Gold Port Corporation,GPO,CSE,goldportcorporation.com,36
https://goldenageexploration.com,Golden Age Exploration Ltd.,GDN,CSE,goldenageexploration.com,9
https://goldencariboo.com,Golden Cariboo Resources Ltd.,GCC,CSE,goldencariboo.com,114
https://www.goldenlakex.com,Golden Lake Exploration Inc.,GLM,CSE,goldenlakex.com,73
https://goldenrapturemining.com,Golden Rapture Mining Corporation,GLDR,CSE,goldenrapturemining.com,47
https://www.goldenshield.ca,Golden Shield Resources Inc.,GSRI,CSE,goldenshield.ca,0
https://www.goldenspikeresources.com,Golden Spike Resources Corp,GLDS,CSE,goldenspikeresources.com,35
